session_id,profile_deviation_score,iforest_anomaly_score
42893367-b36,0.8334145263122498,0.04386534969143918
d6d74065-fc4,1.3381915973481573,-0.07763393993986967
02bb99d8-d5c,0.9995896892427896,-0.07702492911260062
79224d22-83d,1.7287370608473287,-0.07178230048711964
66debb76-9eb,0.9691001356388323,-0.05775028374360902
c9c96c8d-47d,1.2982143336378997,-0.08148140633138767
215958f0-6d7,1.1452640075409857,0.03866156865747272
6c6144b4-6c2,1.2274570739136526,-0.03718510923059676
848867cd-7be,1.1859945707734978,-0.0932250613651247
6c6fdb0e-8d2,1.0118297712530477,-0.04500522116871891
4582633f-a93,1.2808008591887816,-0.08684559982237283
71de1c14-d89,1.705969766675004,-0.006289457949317179
e9b51900-fe1,1.1201688287057827,0.007774018371677016
db545706-ad3,0.9411858645249349,-0.07569878505277244
269a0ab0-6be,1.4074250998561042,-0.0783384998958947
49f2799f-ca8,1.004902062801094,-0.04856310854931106
e199632f-a87,1.0147643715728223,-0.097486237759418
a2df5e12-7c5,1.1292315027424857,-0.09388567268772474
3ee40a26-762,1.1944071655154147,-0.0026846144659813387
ad9d6293-3ab,1.5241804894092401,-0.08809473069019774
d7904c69-f7f,1.4500313522740362,-0.0535625050367155
d000ac72-0bf,1.0395230855290343,-0.011773094122321137
a842d4f6-687,2.7101456475503776,0.01639832070869318
08421000-cb2,1.625167373378119,-0.06010584525806262
ec01d596-5b4,1.2076950265209452,-0.08043212893722218
0a6f53b1-039,1.0135402698723541,-0.01113825228976778
e4f151e1-615,1.4411620453123417,-0.08300484888648796
b7577c9b-4ae,1.0602042814547805,-0.08672120647175635
ca7e036a-fde,1.2202796179530562,-0.040055753994269194
1ce595f8-a2d,1.6233730815362555,0.0036420852922689484
5417ce93-f59,1.599587426277759,-0.07919824763715044
9e127551-58f,1.557909358499578,-0.0708505434018013
9d18ed89-262,0.9495333331623996,-0.0038619963140544278
e3f6ebdc-c8b,1.11575369274779,-0.09384650982811932
7653611c-f26,1.473620805330059,-0.009156361271425162
f78ba8a8-633,1.4020318080166,-0.009450433077809073
0cfcd8c8-9d8,0.9896899561002163,-0.0738250348961571
4815bc0f-573,1.794743489027216,-0.02939676608623132
c9addd80-8df,1.4822735661873505,-0.06660474446602438
0843722d-9f4,1.0951173474691511,-0.07278865960687164
1e71560b-9e9,1.0758634953312254,-0.09195983235941824
41a4850c-f69,1.3625830540230108,-0.06372133033342509
4b68d739-a00,0.9990712917498702,-0.07603538993975562
83cc289e-af3,1.0260204264100248,-0.06771661006873492
